"slide1","slide2","Source_slide1","Source_slide2","Segmentation_channel_slide1","Segmentation_channel_slide2","cp_model1","cp_model2","param1","param2","obj1","obj2","Sample","Group","Muscle","","","","",""
"22-082_10X_DAPI_LAM_DYS_COL4_5-Scene-1-QUAG01","22-082_10X_WGA_Myh7_Myh2_Myh4_1-Scene-1-QUAG01","/media/DATABRUT/DB_DDC/serverGPU/AJ/22-082_QUA/IHF_Lam-Dys-Col4","/media/DATABRUT/DB_DDC/serverGPU/AJ/22-082_QUA/IHF_WGA_Myh4-Myh2-Myh7","1","0","CP_AV_Laminin_Dia_Qua_TA_AxioScan10X","CP_AV_TA_Qua_WGA350_AxioScan10X","fluorescence","fluorescence","10X","10X","QUAG01","WT","QUA","","","","",""
"22-082_10X_DAPI_LAM_DYS_COL4_5-Scene-2-QUAG02","22-082_10X_WGA_Myh7_Myh2_Myh4_1-Scene-2-QUAG02","/media/DATABRUT/DB_DDC/serverGPU/AJ/22-082_QUA/IHF_Lam-Dys-Col4","/media/DATABRUT/DB_DDC/serverGPU/AJ/22-082_QUA/IHF_WGA_Myh4-Myh2-Myh7","1","0","CP_AV_Laminin_Dia_Qua_TA_AxioScan10X","CP_AV_TA_Qua_WGA350_AxioScan10X","fluorescence","fluorescence","10X","10X","QUAG02","WT","QUA","","","","",""
"22-082_10X_DAPI_LAM_DYS_COL4_5-Scene-3-QUAG03","22-082_10X_WGA_Myh7_Myh2_Myh4_1-Scene-3-QUAG03","/media/DATABRUT/DB_DDC/serverGPU/AJ/22-082_QUA/IHF_Lam-Dys-Col4","/media/DATABRUT/DB_DDC/serverGPU/AJ/22-082_QUA/IHF_WGA_Myh4-Myh2-Myh7","1","0","CP_AV_Laminin_Dia_Qua_TA_AxioScan10X","CP_AV_TA_Qua_WGA350_AxioScan10X","fluorescence","fluorescence","10X","10X","QUAG03","WT","QUA","","","","",""
"22-082_10X_DAPI_LAM_DYS_COL4_5-Scene-4-QUAG04","22-082_10X_WGA_Myh7_Myh2_Myh4_1-Scene-4-QUAG04","/media/DATABRUT/DB_DDC/serverGPU/AJ/22-082_QUA/IHF_Lam-Dys-Col4","/media/DATABRUT/DB_DDC/serverGPU/AJ/22-082_QUA/IHF_WGA_Myh4-Myh2-Myh7","1","0","CP_AV_Laminin_Dia_Qua_TA_AxioScan10X","CP_AV_TA_Qua_WGA350_AxioScan10X","fluorescence","fluorescence","10X","10X","QUAG04","WT","QUA","","","","",""
"22-082_10X_DAPI_LAM_DYS_COL4_5-Scene-5-QUAG05","22-082_10X_WGA_Myh7_Myh2_Myh4_1-Scene-5-QUAG05","/media/DATABRUT/DB_DDC/serverGPU/AJ/22-082_QUA/IHF_Lam-Dys-Col4","/media/DATABRUT/DB_DDC/serverGPU/AJ/22-082_QUA/IHF_WGA_Myh4-Myh2-Myh7","1","0","CP_AV_Laminin_Dia_Qua_TA_AxioScan10X","CP_AV_TA_Qua_WGA350_AxioScan10X","fluorescence","fluorescence","10X","10X","QUAG05","WT","QUA","","","","",""
"22-082_10X_DAPI_LAM_DYS_COL4_6-Scene-1-QUAG21","22-082_10X_WGA_Myh7_Myh2_Myh4_2-Scene-1-QUAG21","/media/DATABRUT/DB_DDC/serverGPU/AJ/22-082_QUA/IHF_Lam-Dys-Col4","/media/DATABRUT/DB_DDC/serverGPU/AJ/22-082_QUA/IHF_WGA_Myh4-Myh2-Myh7","1","0","CP_AV_Laminin_Dia_Qua_TA_AxioScan10X","CP_AV_TA_Qua_WGA350_AxioScan10X","fluorescence","fluorescence","10X","10X","QUAG21","mdx","QUA","","","","",""
"22-082_10X_DAPI_LAM_DYS_COL4_6-Scene-2-QUAG22","22-082_10X_WGA_Myh7_Myh2_Myh4_2-Scene-2-QUAG22","/media/DATABRUT/DB_DDC/serverGPU/AJ/22-082_QUA/IHF_Lam-Dys-Col4","/media/DATABRUT/DB_DDC/serverGPU/AJ/22-082_QUA/IHF_WGA_Myh4-Myh2-Myh7","1","0","CP_AV_Laminin_Dia_Qua_TA_AxioScan10X","CP_AV_TA_Qua_WGA350_AxioScan10X","fluorescence","fluorescence","10X","10X","QUAG22","mdx","QUA","","","","",""
"22-082_10X_DAPI_LAM_DYS_COL4_6-Scene-3-QUAG23","22-082_10X_WGA_Myh7_Myh2_Myh4_2-Scene-3-QUAG23","/media/DATABRUT/DB_DDC/serverGPU/AJ/22-082_QUA/IHF_Lam-Dys-Col4","/media/DATABRUT/DB_DDC/serverGPU/AJ/22-082_QUA/IHF_WGA_Myh4-Myh2-Myh7","1","0","CP_AV_Laminin_Dia_Qua_TA_AxioScan10X","CP_AV_TA_Qua_WGA350_AxioScan10X","fluorescence","fluorescence","10X","10X","QUAG23","mdx","QUA","","","","",""
"22-082_10X_DAPI_LAM_DYS_COL4_6-Scene-4-QUAG24","22-082_10X_WGA_Myh7_Myh2_Myh4_2-Scene-4-QUAG24","/media/DATABRUT/DB_DDC/serverGPU/AJ/22-082_QUA/IHF_Lam-Dys-Col4","/media/DATABRUT/DB_DDC/serverGPU/AJ/22-082_QUA/IHF_WGA_Myh4-Myh2-Myh7","1","0","CP_AV_Laminin_Dia_Qua_TA_AxioScan10X","CP_AV_TA_Qua_WGA350_AxioScan10X","fluorescence","fluorescence","10X","10X","QUAG24","mdx","QUA","","","","",""
"22-082_10X_DAPI_LAM_DYS_COL4_6-Scene-5-QUAG25","22-082_10X_WGA_Myh7_Myh2_Myh4_2-Scene-5-QUAG25","/media/DATABRUT/DB_DDC/serverGPU/AJ/22-082_QUA/IHF_Lam-Dys-Col4","/media/DATABRUT/DB_DDC/serverGPU/AJ/22-082_QUA/IHF_WGA_Myh4-Myh2-Myh7","1","0","CP_AV_Laminin_Dia_Qua_TA_AxioScan10X","CP_AV_TA_Qua_WGA350_AxioScan10X","fluorescence","fluorescence","10X","10X","QUAG25","mdx","QUA","","","","",""
