panel,is_new,img1,img2,n_rois1,n_rois2,n_pairs,n_matched1,n_matched2,coverage1,coverage2
10X_COX,False,22-082_10X_DAPI_LAM_DYS_COL4_5-Scene-1-QUAG01,22-082_10X_COX_5-Scene-1-QUAG01,7481,7058,5509.0,5509.0,5509.0,0.7363988771554605,0.7805327288183621
10X_DAPI_LAMP2_LGALS3_SQSTM1,False,22-082_10X_DAPI_LAM_DYS_COL4_5-Scene-1-QUAG01,22-082_10X_DAPI_LAMP2_LGALS3_SQSTM1_5-Scene-1-QUAG01,7481,4852,1599.0,1599.0,1599.0,0.21374147841197702,0.32955482275350373
10X_DAPI_LAM_IgG_CD11B,False,22-082_10X_DAPI_LAM_DYS_COL4_5-Scene-1-QUAG01,22-082_10X_DAPI_LAM_IgG_CD11B_5-Scene-1-QUAG01,7481,8329,6871.0,6871.0,6871.0,0.9184600989172571,0.8249489734662024
10X_HE,False,22-082_10X_DAPI_LAM_DYS_COL4_5-Scene-1-QUAG01,22-082_10X_HE_13-Scene-1-QUAG01,7481,6204,5062.0,5062.0,5062.0,0.6766475070177784,0.8159252095422308
10X_NADH,False,22-082_10X_DAPI_LAM_DYS_COL4_5-Scene-1-QUAG01,22-082_10X_NADH_13-Scene-1-QUAG01,7481,6742,5535.0,5535.0,5535.0,0.7398743483491512,0.820973005043014
10X_WGA_Myh7_Myh2_Myh4,True,22-082_10X_DAPI_LAM_DYS_COL4_5-Scene-1-QUAG01,22-082_10X_WGA_Myh7_Myh2_Myh4_1-Scene-1-QUAG01,7481,4835,2333.0,2333.0,2333.0,0.3118567036492447,0.48252326783867633
5X_HE,False,22-082_10X_DAPI_LAM_DYS_COL4_5-Scene-1-QUAG01,22-082_5X_HE_5-Scene-1-QUAG01,7481,5590,,,,,
10X_COX,False,22-082_10X_DAPI_LAM_DYS_COL4_5-Scene-2-QUAG02,22-082_10X_COX_5-Scene-2-QUAG02,9249,8109,6740.0,6740.0,6740.0,0.7287274299924316,0.8311752373905537
10X_DAPI_LAMP2_LGALS3_SQSTM1,False,22-082_10X_DAPI_LAM_DYS_COL4_5-Scene-2-QUAG02,22-082_10X_DAPI_LAMP2_LGALS3_SQSTM1_5-Scene-2-QUAG02,9249,6517,5056.0,5056.0,5056.0,0.5466536922910585,0.7758170937547951
10X_DAPI_LAM_IgG_CD11B,False,22-082_10X_DAPI_LAM_DYS_COL4_5-Scene-2-QUAG02,22-082_10X_DAPI_LAM_IgG_CD11B_5-Scene-2-QUAG02,9249,9201,8396.0,8396.0,8396.0,0.9077738133852309,0.9125095098358874
10X_HE,False,22-082_10X_DAPI_LAM_DYS_COL4_5-Scene-2-QUAG02,22-082_10X_HE_13-Scene-2-QUAG02,9249,7657,6908.0,6908.0,6908.0,0.746891555843875,0.9021810108397544
10X_NADH,False,22-082_10X_DAPI_LAM_DYS_COL4_5-Scene-2-QUAG02,22-082_10X_NADH_13-Scene-2-QUAG02,9249,8941,7435.0,7435.0,7435.0,0.8038706887231052,0.8315624650486523
10X_WGA_Myh7_Myh2_Myh4,True,22-082_10X_DAPI_LAM_DYS_COL4_5-Scene-2-QUAG02,22-082_10X_WGA_Myh7_Myh2_Myh4_1-Scene-2-QUAG02,9249,8144,6607.0,6607.0,6607.0,0.7143474970267056,0.8112721021611002
5X_HE,False,22-082_10X_DAPI_LAM_DYS_COL4_5-Scene-2-QUAG02,22-082_5X_HE_5-Scene-2-QUAG02,9249,6723,,,,,
10X_COX,False,22-082_10X_DAPI_LAM_DYS_COL4_5-Scene-3-QUAG03,22-082_10X_COX_5-Scene-3-QUAG03,9007,8507,7680.0,7680.0,7680.0,0.8526701454424337,0.9027859409897732
10X_DAPI_LAMP2_LGALS3_SQSTM1,False,22-082_10X_DAPI_LAM_DYS_COL4_5-Scene-3-QUAG03,22-082_10X_DAPI_LAMP2_LGALS3_SQSTM1_5-Scene-3-QUAG03,9007,7950,6985.0,6985.0,6985.0,0.7755079382702342,0.8786163522012579
10X_DAPI_LAM_IgG_CD11B,False,22-082_10X_DAPI_LAM_DYS_COL4_5-Scene-3-QUAG03,22-082_10X_DAPI_LAM_IgG_CD11B_5-Scene-3-QUAG03,9007,9153,8238.0,8238.0,8238.0,0.9146219606972354,0.9000327761389708
10X_HE,False,22-082_10X_DAPI_LAM_DYS_COL4_5-Scene-3-QUAG03,22-082_10X_HE_13-Scene-3-QUAG03,9007,8423,7698.0,7698.0,7698.0,0.8546685910958144,0.9139261545767541
10X_NADH,False,22-082_10X_DAPI_LAM_DYS_COL4_5-Scene-3-QUAG03,22-082_10X_NADH_13-Scene-3-QUAG03,9007,8567,7835.0,7835.0,7835.0,0.869878983013212,0.9145558538578266
10X_WGA_Myh7_Myh2_Myh4,True,22-082_10X_DAPI_LAM_DYS_COL4_5-Scene-3-QUAG03,22-082_10X_WGA_Myh7_Myh2_Myh4_1-Scene-3-QUAG03,9007,6232,2344.0,2344.0,2344.0,0.2602420339735761,0.3761232349165597
5X_HE,False,22-082_10X_DAPI_LAM_DYS_COL4_5-Scene-3-QUAG03,22-082_5X_HE_5-Scene-3-QUAG03,9007,7660,,,,,
10X_COX,False,22-082_10X_DAPI_LAM_DYS_COL4_5-Scene-4-QUAG04,22-082_10X_COX_5-Scene-4-QUAG04,8900,7324,6588.0,6588.0,6588.0,0.7402247191011236,0.8995084653194976
10X_DAPI_LAMP2_LGALS3_SQSTM1,False,22-082_10X_DAPI_LAM_DYS_COL4_5-Scene-4-QUAG04,22-082_10X_DAPI_LAMP2_LGALS3_SQSTM1_5-Scene-4-QUAG04,8900,6179,5045.0,5045.0,5045.0,0.5668539325842696,0.8164751577925231
10X_DAPI_LAM_IgG_CD11B,False,22-082_10X_DAPI_LAM_DYS_COL4_5-Scene-4-QUAG04,22-082_10X_DAPI_LAM_IgG_CD11B_5-Scene-4-QUAG04,8900,3427,2822.0,2822.0,2822.0,0.31707865168539323,0.8234607528450539
10X_HE,False,22-082_10X_DAPI_LAM_DYS_COL4_5-Scene-4-QUAG04,22-082_10X_HE_13-Scene-4-QUAG04,8900,7935,7159.0,7159.0,7159.0,0.8043820224719102,0.9022054190296156
10X_NADH,False,22-082_10X_DAPI_LAM_DYS_COL4_5-Scene-4-QUAG04,22-082_10X_NADH_13-Scene-4-QUAG04,8900,8274,7533.0,7533.0,7533.0,0.8464044943820225,0.9104423495286439
10X_WGA_Myh7_Myh2_Myh4,True,22-082_10X_DAPI_LAM_DYS_COL4_5-Scene-4-QUAG04,22-082_10X_WGA_Myh7_Myh2_Myh4_1-Scene-4-QUAG04,8900,7293,6145.0,6145.0,6145.0,0.6904494382022472,0.8425887837652544
5X_HE,False,22-082_10X_DAPI_LAM_DYS_COL4_5-Scene-4-QUAG04,22-082_5X_HE_5-Scene-4-QUAG04,8900,6942,,,,,
10X_COX,False,22-082_10X_DAPI_LAM_DYS_COL4_5-Scene-5-QUAG05,22-082_10X_COX_5-Scene-5-QUAG05,9500,8592,7842.0,7842.0,7842.0,0.8254736842105264,0.9127094972067039
10X_DAPI_LAMP2_LGALS3_SQSTM1,False,22-082_10X_DAPI_LAM_DYS_COL4_5-Scene-5-QUAG05,22-082_10X_DAPI_LAMP2_LGALS3_SQSTM1_5-Scene-5-QUAG05,9500,5781,4744.0,4744.0,4744.0,0.4993684210526316,0.8206192700224875
10X_DAPI_LAM_IgG_CD11B,False,22-082_10X_DAPI_LAM_DYS_COL4_5-Scene-5-QUAG05,22-082_10X_DAPI_LAM_IgG_CD11B_5-Scene-5-QUAG05,9500,9752,8937.0,8937.0,8937.0,0.9407368421052632,0.9164273995077933
10X_HE,False,22-082_10X_DAPI_LAM_DYS_COL4_5-Scene-5-QUAG05,22-082_10X_HE_13-Scene-5-QUAG05,9500,8872,8034.0,8034.0,8034.0,0.8456842105263158,0.9055455365193869
10X_NADH,False,22-082_10X_DAPI_LAM_DYS_COL4_5-Scene-5-QUAG05,22-082_10X_NADH_13-Scene-5-QUAG05,9500,9581,8927.0,8927.0,8927.0,0.9396842105263158,0.9317399018891557
10X_WGA_Myh7_Myh2_Myh4,True,22-082_10X_DAPI_LAM_DYS_COL4_5-Scene-5-QUAG05,22-082_10X_WGA_Myh7_Myh2_Myh4_1-Scene-5-QUAG05,9500,8551,7402.0,7402.0,7402.0,0.7791578947368422,0.8656297509063268
5X_HE,False,22-082_10X_DAPI_LAM_DYS_COL4_5-Scene-5-QUAG05,22-082_5X_HE_5-Scene-5-QUAG05,9500,7921,,,,,
10X_COX,False,22-082_10X_DAPI_LAM_DYS_COL4_6-Scene-1-QUAG21,22-082_10X_COX_6-Scene-1-QUAG21,7577,6515,3914.0,3914.0,3914.0,0.5165632836214861,0.6007674597083653
10X_DAPI_LAM_IgG_CD11B,False,22-082_10X_DAPI_LAM_DYS_COL4_6-Scene-1-QUAG21,22-082_10X_DAPI_LAM_IgG_CD11B_6-Scene-1-QUAG21,7577,9504,6341.0,6341.0,6341.0,0.8368747525405833,0.6671927609427609
10X_HE,False,22-082_10X_DAPI_LAM_DYS_COL4_6-Scene-1-QUAG21,22-082_10X_HE_14-Scene-1-QUAG21,7577,7276,4362.0,4362.0,4362.0,0.5756895869077471,0.5995052226498075
10X_NADH,False,22-082_10X_DAPI_LAM_DYS_COL4_6-Scene-1-QUAG21,22-082_10X_NADH_14-Scene-1-QUAG21,7577,8061,5381.0,5381.0,5381.0,0.7101755312128811,0.667535045279742
10X_WGA_Myh7_Myh2_Myh4,True,22-082_10X_DAPI_LAM_DYS_COL4_6-Scene-1-QUAG21,22-082_10X_WGA_Myh7_Myh2_Myh4_2-Scene-1-QUAG21,7577,5503,2601.0,2601.0,2601.0,0.3432757027847433,0.4726512811193894
5X_HE,False,22-082_10X_DAPI_LAM_DYS_COL4_6-Scene-1-QUAG21,22-082_5X_HE_6-Scene-1-QUAG21,7577,5743,,,,,
10X_COX,False,22-082_10X_DAPI_LAM_DYS_COL4_6-Scene-2-QUAG22,22-082_10X_COX_6-Scene-2-QUAG22,9368,6880,5477.0,5477.0,5477.0,0.5846498719043552,0.7960755813953488
10X_DAPI_LAMP2_LGALS3_SQSTM1,False,22-082_10X_DAPI_LAM_DYS_COL4_6-Scene-2-QUAG22,22-082_10X_DAPI_LAMP2_LGALS3_SQSTM1_6-Scene-2-QUAG22,9368,7344,4878.0,4878.0,4878.0,0.5207087959009393,0.6642156862745098
10X_DAPI_LAM_IgG_CD11B,False,22-082_10X_DAPI_LAM_DYS_COL4_6-Scene-2-QUAG22,22-082_10X_DAPI_LAM_IgG_CD11B_6-Scene-2-QUAG22,9368,9791,8389.0,8389.0,8389.0,0.8954953031596926,0.8568072719844756
10X_HE,False,22-082_10X_DAPI_LAM_DYS_COL4_6-Scene-2-QUAG22,22-082_10X_HE_14-Scene-2-QUAG22,9368,6491,5310.0,5310.0,5310.0,0.5668232280102476,0.8180557695270374
10X_NADH,False,22-082_10X_DAPI_LAM_DYS_COL4_6-Scene-2-QUAG22,22-082_10X_NADH_14-Scene-2-QUAG22,9368,8143,6833.0,6833.0,6833.0,0.729397950469684,0.8391256293749233
10X_WGA_Myh7_Myh2_Myh4,True,22-082_10X_DAPI_LAM_DYS_COL4_6-Scene-2-QUAG22,22-082_10X_WGA_Myh7_Myh2_Myh4_2-Scene-2-QUAG22,9368,5350,3195.0,3195.0,3195.0,0.3410546541417592,0.597196261682243
5X_HE,False,22-082_10X_DAPI_LAM_DYS_COL4_6-Scene-2-QUAG22,22-082_5X_HE_6-Scene-2-QUAG22,9368,5110,,,,,
10X_COX,False,22-082_10X_DAPI_LAM_DYS_COL4_6-Scene-3-QUAG23,22-082_10X_COX_6-Scene-3-QUAG23,10300,7998,6546.0,6546.0,6546.0,0.6355339805825243,0.8184546136534133
10X_DAPI_LAMP2_LGALS3_SQSTM1,False,22-082_10X_DAPI_LAM_DYS_COL4_6-Scene-3-QUAG23,22-082_10X_DAPI_LAMP2_LGALS3_SQSTM1_6-Scene-3-QUAG23,10300,8793,6129.0,6129.0,6129.0,0.5950485436893204,0.6970317297850563
10X_DAPI_LAM_IgG_CD11B,False,22-082_10X_DAPI_LAM_DYS_COL4_6-Scene-3-QUAG23,22-082_10X_DAPI_LAM_IgG_CD11B_6-Scene-3-QUAG23,10300,10465,8395.0,8395.0,8395.0,0.8150485436893203,0.8021978021978022
10X_HE,False,22-082_10X_DAPI_LAM_DYS_COL4_6-Scene-3-QUAG23,22-082_10X_HE_14-Scene-3-QUAG23,10300,8000,6732.0,6732.0,6732.0,0.6535922330097087,0.8415
10X_NADH,False,22-082_10X_DAPI_LAM_DYS_COL4_6-Scene-3-QUAG23,22-082_10X_NADH_14-Scene-3-QUAG23,10300,8772,7454.0,7454.0,7454.0,0.7236893203883495,0.8497492020063839
10X_WGA_Myh7_Myh2_Myh4,True,22-082_10X_DAPI_LAM_DYS_COL4_6-Scene-3-QUAG23,22-082_10X_WGA_Myh7_Myh2_Myh4_2-Scene-3-QUAG23,10300,6878,4990.0,4990.0,4990.0,0.48446601941747575,0.7255015993021227
5X_HE,False,22-082_10X_DAPI_LAM_DYS_COL4_6-Scene-3-QUAG23,22-082_5X_HE_6-Scene-3-QUAG23,10300,6903,,,,,
10X_COX,False,22-082_10X_DAPI_LAM_DYS_COL4_6-Scene-4-QUAG24,22-082_10X_COX_6-Scene-4-QUAG24,8353,5349,4090.0,4090.0,4090.0,0.4896444391236681,0.7646289025986166
10X_DAPI_LAMP2_LGALS3_SQSTM1,False,22-082_10X_DAPI_LAM_DYS_COL4_6-Scene-4-QUAG24,22-082_10X_DAPI_LAMP2_LGALS3_SQSTM1_6-Scene-4-QUAG24,8353,6542,4185.0,4185.0,4185.0,0.5010175984676164,0.6397126261082238
10X_DAPI_LAM_IgG_CD11B,False,22-082_10X_DAPI_LAM_DYS_COL4_6-Scene-4-QUAG24,22-082_10X_DAPI_LAM_IgG_CD11B_6-Scene-4-QUAG24,8353,7817,6439.0,6439.0,6439.0,0.7708607685861367,0.8237175386977101
10X_HE,False,22-082_10X_DAPI_LAM_DYS_COL4_6-Scene-4-QUAG24,22-082_10X_HE_14-Scene-4-QUAG24,8353,5355,4176.0,4176.0,4176.0,0.4999401412666108,0.7798319327731092
10X_NADH,False,22-082_10X_DAPI_LAM_DYS_COL4_6-Scene-4-QUAG24,22-082_10X_NADH_14-Scene-4-QUAG24,8353,6191,5005.0,5005.0,5005.0,0.5991859212259069,0.8084315942497173
10X_WGA_Myh7_Myh2_Myh4,True,22-082_10X_DAPI_LAM_DYS_COL4_6-Scene-4-QUAG24,22-082_10X_WGA_Myh7_Myh2_Myh4_2-Scene-4-QUAG24,8353,4490,2636.0,2636.0,2636.0,0.3155752424278702,0.5870824053452116
5X_HE,False,22-082_10X_DAPI_LAM_DYS_COL4_6-Scene-4-QUAG24,22-082_5X_HE_6-Scene-4-QUAG24,8353,4147,,,,,
10X_COX,False,22-082_10X_DAPI_LAM_DYS_COL4_6-Scene-5-QUAG25,22-082_10X_COX_6-Scene-5-QUAG25,6147,4440,2552.0,2552.0,2552.0,0.41516186757768014,0.5747747747747748
10X_DAPI_LAMP2_LGALS3_SQSTM1,False,22-082_10X_DAPI_LAM_DYS_COL4_6-Scene-5-QUAG25,22-082_10X_DAPI_LAMP2_LGALS3_SQSTM1_6-Scene-5-QUAG25,6147,4746,1798.0,1798.0,1798.0,0.2925004067024565,0.37884534344711335
10X_DAPI_LAM_IgG_CD11B,False,22-082_10X_DAPI_LAM_DYS_COL4_6-Scene-5-QUAG25,22-082_10X_DAPI_LAM_IgG_CD11B_6-Scene-5-QUAG25,6147,6604,4761.0,4761.0,4761.0,0.7745241581259151,0.7209267110841914
10X_HE,False,22-082_10X_DAPI_LAM_DYS_COL4_6-Scene-5-QUAG25,22-082_10X_HE_14-Scene-5-QUAG25,6147,4490,2477.0,2477.0,2477.0,0.40296079388319506,0.5516703786191537
