image_name,slide,sample_id,staining
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_1-Scene-1-TAG01,1,TAG01,DAPI
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_1-Scene-1-TAG01,1,TAG01,Laminin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_1-Scene-1-TAG01,1,TAG01,Dystrophin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_1-Scene-1-TAG01,1,TAG01,Collagen4
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_1-Scene-2-TAG02,1,TAG02,DAPI
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_1-Scene-2-TAG02,1,TAG02,Laminin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_1-Scene-2-TAG02,1,TAG02,Dystrophin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_1-Scene-2-TAG02,1,TAG02,Collagen4
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_1-Scene-3-TAG03,1,TAG03,DAPI
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_1-Scene-3-TAG03,1,TAG03,Laminin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_1-Scene-3-TAG03,1,TAG03,Dystrophin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_1-Scene-3-TAG03,1,TAG03,Collagen4
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_1-Scene-4-TAG04,1,TAG04,DAPI
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_1-Scene-4-TAG04,1,TAG04,Laminin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_1-Scene-4-TAG04,1,TAG04,Dystrophin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_1-Scene-4-TAG04,1,TAG04,Collagen4
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_1-Scene-5-TAG05,1,TAG05,DAPI
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_1-Scene-5-TAG05,1,TAG05,Laminin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_1-Scene-5-TAG05,1,TAG05,Dystrophin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_1-Scene-5-TAG05,1,TAG05,Collagen4
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_2-Scene-21-TAG21,1,TAG21,DAPI
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_2-Scene-21-TAG21,1,TAG21,Laminin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_2-Scene-21-TAG21,1,TAG21,Dystrophin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_2-Scene-21-TAG21,1,TAG21,Collagen4
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_2-Scene-22-TAG22,1,TAG22,DAPI
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_2-Scene-22-TAG22,1,TAG22,Laminin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_2-Scene-22-TAG22,1,TAG22,Dystrophin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_2-Scene-22-TAG22,1,TAG22,Collagen4
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_2-Scene-23-TAG23,1,TAG23,DAPI
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_2-Scene-23-TAG23,1,TAG23,Laminin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_2-Scene-23-TAG23,1,TAG23,Dystrophin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_2-Scene-23-TAG23,1,TAG23,Collagen4
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_2-Scene-24-TAG24,1,TAG24,DAPI
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_2-Scene-24-TAG24,1,TAG24,Laminin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_2-Scene-24-TAG24,1,TAG24,Dystrophin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_2-Scene-24-TAG24,1,TAG24,Collagen4
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_2-Scene-25-TAG25,1,TAG25,DAPI
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_2-Scene-25-TAG25,1,TAG25,Laminin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_2-Scene-25-TAG25,1,TAG25,Dystrophin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_2-Scene-25-TAG25,1,TAG25,Collagen4
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_3-Scene-26-TAG26,1,TAG26,DAPI
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_3-Scene-26-TAG26,1,TAG26,Laminin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_3-Scene-26-TAG26,1,TAG26,Dystrophin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_3-Scene-26-TAG26,1,TAG26,Collagen4
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_3-Scene-27-TAG27,1,TAG27,DAPI
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_3-Scene-27-TAG27,1,TAG27,Laminin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_3-Scene-27-TAG27,1,TAG27,Dystrophin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_3-Scene-27-TAG27,1,TAG27,Collagen4
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_3-Scene-28-TAG28,1,TAG28,DAPI
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_3-Scene-28-TAG28,1,TAG28,Laminin
